2021-08-06 20:47:30,268 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Aug 06 20:47:30 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-08-06 20:47:37,573 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:38,887 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-08-06 20:47:39,382 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-08-06 20:47:39,822 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:4e7a1747fbd6-46719-1628282859511-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:40,139 | INFO  | Listening for connections at: tcp://4e7a1747fbd6:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-06 20:47:40,148 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-08-06 20:47:40,167 | INFO  | Listening for connections at: amqp://4e7a1747fbd6:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-06 20:47:40,172 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-08-06 20:47:40,253 | INFO  | Listening for connections at: stomp://4e7a1747fbd6:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-06 20:47:40,305 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-08-06 20:47:40,333 | INFO  | Listening for connections at: mqtt://4e7a1747fbd6:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-06 20:47:40,371 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-08-06 20:47:41,576 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-08-06 20:47:41,915 | INFO  | Listening for connections at ws://4e7a1747fbd6:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-08-06 20:47:41,917 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-08-06 20:47:41,929 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:4e7a1747fbd6-46719-1628282859511-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:41,935 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:41,939 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 34753 mb of usable space. - resetting to maximum available disk space: 34753 mb | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:41,942 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 34753 mb of usable space. - resetting to maximum available disk space: 34753 mb | org.apache.activemq.broker.BrokerService | main
2021-08-06 20:47:47,388 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-08-06 20:47:49,047 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-08-06 20:47:49,051 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-08-06 20:47:49,387 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-08-06 20:47:50,862 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
